Ticket,Date,Location,Company Complaining About,Description
# 3795284 - Super Bowl half - time show,2/3/2020 1:08:47 AM,"Prairie Village, Kansas 66208",,"The show with Lopez and Shakira was not family - friendly. It was too sexually suggestive. Children interested in watching the Super Bowl, played during prime time, should not watch wo men and men grabbing their crotch"
# 3795291 - NFL Suoer Bowl Halftime Show,2/3/2020 1:32:47 AM,"Morgantown, West Virginia 26501",,The show was not suitable for family viewing. The NFL Super Bowl show gets less family friendly every year. Time for it to stop. NFL should be fined.
# 3795296 - Super Bowl Halftime Show,2/3/2020 1:47:35 AM,"Williamsville, New York 14221",,"T he entire show was scandalous. At one point, a performer opened her legs to show her crotch covered only in a bikini - like bottom. Entirely inappropriate."
# 3795297 - Super Bowl Halftime Show,2/3/2020 1:48:24 AM,"Moraga, California 94556",,"Wow. I am so disappointed that a half time show such as the one that was shown today is allowed to be aired on television. The Super Bowl is historically a family event. As such, pole dancing is completely inappropriate. The host of the party my family and I were at (with daughters aged 10 and 12) turned off the TV at the pole dancing point. I had to have a discussion with my girls about how the women on the stage were being objectified and that this kind of thing was not OK in any situation. I expect that you will take action against the NFL and that in the future you will be proactive and preview half time shows before they are performed on live TV. It is your job to be the watchdog here and you failed."
# 3795299 - Halftime show Superbowl,2/3/2020 1:51:02 AM,"Syracuse, Utah 84075",,Jen nifer Lopez halftime show costumes and pole dancing were totally inappropriate for primetime family viewing. I was totally embarrassed watching this with our children. I thought this problem was corrected after Janet Jackson. This has got to stop!!
# 3795304 - Indecent Half Time Super Bowl Show,2/3/2020 2:06:10 AM,"Fredericksburg, Virginia 22406",,"Stopper poles, chaps and naked butt cheeks being shown during a football game that is watched by families. If strip club outfits and stripper poles are going to be broadcast during a football game then the rating of the football game should be changed in order to warn parents of the indecency that is going to be shown."
# 3795306 - Halftime Show (Jennifer Lopez),2/3/2020 2:07:02 AM,"Camarillo, Calif ornia 93012",,"Watching Super Bowl halftime show with family and friends including girls in the range of 11 to 14 year olds. Don't mind the hard working Jennifer Lopez and Shakira practicing their craft/art. The stripper pole featured in Jennifer Lopez's act is pretty exclusively found in ""gentlemen's"" club and indecent. Should have been rated TV - 14 at a minimum, but there was no warning and as positive as they are; the show crossed a line."
# 3795318 - Superbowl Halftime show,2/3/2020 2:18:17 AM,"Cornelius, North Carolina 28031",,That show was absolutely disgusting and not appropriate for children. I'm not sure what the NFL or FOX was thinking but several close up shots of Jennifer Lopez's crotch is not family entertainment Neither was her routine on the stripper pole. If this performance goes unchecked then I'm not really sure why the FCC exists In the first place. NONE of what we just saw is suitable for younger viewers.....including her buttless chaps.
# 3795321 - Indecency Superbowl Halftime Show,2/3/2020 2:21:47 AM,"New Bern, North Carolina 28560",,"Around 8 pm EST, I witnessed numerous crotch shots with so little fabric covering that a clinch would have made it indistinguishable from a pure crack. Leather pants fully exposing butt cheeks, pole dancing, twerking, simulated orgies, and sexual gyration s, crotch grabs, and pelvic thrusts were all in front of my family and friends with preschoolers and elementary age students. We were watching an NFL football game, not HBO. Are thongs and assless chaps considered appropriate attire before 10 pm on network television now? At a minimum censor bars and blurs should have been required."
# 3795322 - Super bowl halftime show 2020,2/3/2020 2:22:00 AM,"Monr oe, Wisconsin 53566",Fox,The 2020 Super Bowl halftime show was a nasty burlesque stripper show not appropriate for family television!! A bal l game on tv is not the place for this filth.
