Ticket,Date,Location,Company Complaining About,Description
# 37997 99 - Super Bowl half time,2/3/2020 7:57:05 PM,"Joplin, Missouri 64804",,"I love those performers, but contextually the content was extremely inappropriate. Particularly Jlo with virtually no clothing and then breaking out the stripper pole. Our families, including the kids, were viewing this. Any other time, maybe, but not one of the most viewed sports games of the year. The"
# 3799803 - Inappropriate attire du ring Superbowl halftime,2/3/2020 7:58:46 PM,"Fort Worth, Texas 76132",,The Attire during the superbowl violates FCC regulations on nudity. It was s hown on a non cable channel
# 3799822 - Superbowl Halftime Show,2/3/2020 8:03:52 PM,"Dover, Delaware 19904",,"What should have been family friendly entertainment was turned into a pole dance at a strip club. The ""entertainers"" the NFL and FOX television all need to be fined f or the disgusting display they put on and allowed as the halftime show with full knowledge that children were watching this."
# 3799826 - Obscene Super Bowl Half Time S how,2/3/2020 8:04:34 PM,"Stillwater, Minnesota 55082",,"Disgusting, racy pornographic performance!"
# 3799829 - Superbowl Halftime Show,2/3/2020 8:06:34 PM,"Lewisville, North Carolina 27023",,"What the heck? Why does this keep getting worse? Decency isn't a definition reserved for nudity. In fact, there are plenty of times where nudity might be understandable for TV (Schindler's List, for example). In this case, th e half - time show was anything but family friendly. In fact, it crossed into family - unfriendly. Was the performance live? Yes, I get it. Was the performance rehearsed? Absolutely. Organizers knew the plans for the half - time show, and moved forward with it anyway. Action should be taken (even if just a hand - slap) to let the Big Game organizers/sponsors know that the hearts of the youngest Americans should be taken into account. Please address the Superbowl Half - Time show. Cari Keleman said it best -- ""Why enjoy together?"""
# 3799833 - Superbowl Halftime Show was Disgusting & Pornographic!,2/3/2020 8:08:47 PM,"San Jose, California 95118",,"I want to express my utter disappointment with the pornographic half time show during the Superbowl. It is defin itely NOT family - friendly, and you know kids and families will be watching. As an adult I don't want to watch that kind of content or to have it associated with a nationwide viewing event. It is very sad to see such a fun football contest stoop so low for half - time entertainment. You should be ashamed of yourselves."
# 3799847 - Half time show Super bowl,2/3/2020 8:13:16 PM,"Mendham, New Jersey 07945",AT&T,It was indecent. It focused on the stars private parts which were mostly exposed. There was a scene where th ey were pole dancing with what seems like a simulated orgy below. We had children present and had to hastily shut down the TV. What is next?
# 3799853 - Offensive Sup er Bowl halftime show,2/3/2020 8:15:05 PM,"Maryville, Missouri 64468",,"The halftime show during the Super Bowl was very offensive and was not appro priate for a national sports venue. If this were a movie, no doubt it would have been given a parental warning and a minimum age for viewing. Please enforce your rules for decency and level a very hefty fine on the network. Make it enough to stop this t ype of ""entertainment"" from happening again."
# 3799855 - Super Bowl Halftime Show,2/3/2020 8:16:02 PM,"Venice, Florida 34293",,"Grossly sexual and highly inappropriate. My neighbor’s little girl asked, “Why is she dancing naked?” "
# 3799864 - Superbowl show,2/3/2020 8:18:31 PM,"Middleburg, Florida 32068",,This show was raunchy and disgraceful with children watching. These women gyrated in the most revolting way. Is the show for families or drunk football fans. A serious fine should be levied to prevent more trash porno shows.
# 3799865 - Super Bowl Halftime,2/3/2020 8:18:32 PM,"Elberton, Georgia 30635",,"The ""performance"" of someone barely clothed during a major TV event, in which children (including my 4 and 1 year old sons) were watching fits the very definition of indecency. Since the policies in 2004 required a fine, those same policies require a fine in this case. It is neither empowering to women (as it robs them of their clothing for the entertainment of men) nor beneficial to men (who are the aggressors in #MeToo life we live in)."
# 3799873 - 2020 half time super bowl show,2/3/2020 8:22:44 PM,"Fredericksburg, Texas 78624",,"The show this year was exceeding indecent and offensive to anyone with children. The women were virtually half naked, and mimicked sex acts in their dancing. The NF L and Fox need some serious penalty so they won't broadcast anything this indecent again. It was far worse than the so - called ""wardrobe malfunction"" from 10 or 15 years ago."
# 3799875 - 2020 Super Bowl Halftime Show,2/3/2020 8:23:09 PM,"Bolckow, Missouri 64427",,"Shakira, Jennifer Lopez, Pepsi, FOX and the NFL should all be ashamed of the halftime performance during the 2020 Super Bowl. Crotch and rear - end shots, barely - there outfits, stripper pole and suggestive dancing are inappropriate for a national institution like the Super Bowl that draws millions of viewers, including families. Instead of empowering women, it was demeaning toward our whole gender and a giant step ba ckward in our fight for respect and equality. Appalling role models for young girls who idolize the 2 pop superstars and it definitely sends the wrong message to young boys who were watching. I believe all involved should be HEAVILY fined so this does no t become a worsening trend for future Super Bowls."
# 3799884 - Super Bowl Half Time,2/3/2020 8:25:03 PM,"Sawyer, Oklahoma 74756",,"I am shocked, offended and appalled! I cannot believe this soft porn sex show was allowed on tv let t only the networks but the entertainers as well, each year it gets worse and worse. Stripper poles belong in bedrooms and strip clubs. The crotch grabbing disgusting! How did you allow a sliding up close crotch shot on National TV! Our children and our nation as a whole deserve better. There is a time and a place but dance, I love the tv show The World of dance. This was not good dancing, well may be in parts! However it was overshadowed by the sex show and children in cages. American deserves an apology from the networks, The NFL, and the performers. If I were Latino or African American I would be appalled that these people believe this was a repre sentation of the culture! Absolutely not!! Be better, do better, and demand better. We need to go back to Respect, Morals and what is right! Our young impressionable children deserve more"
# 3799890 - halftime show with my kids,2/3/2020 8:26:16 PM,"Boise, Idaho 83713",,"i don't believe it is appropriate to show simulated sex, pole dancing, crotch, and nudity during the hours which children are watching TV."
# 3799894 - Super Bowl 1/2 time show,2/3/2020 8:27:05 PM,"Methuen, Massachusetts 01844",,during a time when children and families were watching.
# 3799895 - Super Bowl Half - Time Show,2/3/2020 8:27:38 PM,"Vail, Arizona 85641",,"How can watching people grabbing their crotches, twirling on a stripper pole, and bending over so their butt crack is nearly exposed be acceptable family entertainment? The entire show was R - rated. There needs to be some sort of fine or punishment levied against whomever allowed that horrible show to be aired without a disclaimer for parents."
# 3799917 - Halftime/Super bowl,2/3/2020 8:32:40 PM,"Riverside, California 92503",,The inappropriateness of entertainment on a daytime family program. With all of the sex trafficking associated with this event it seems especially important to keep i t clean!. Please clean it up!
# 3799918 - Half Time Superbowl show,2/3/2020 8:33:21 PM,"San Juan Capistrano, California 92675",,"Raunchy, stripper poles, and indecent clothing...during family hours and a family watched sports game. Please don't let this happen again! Horrible message for our little girls. Fines should be given and supervision of these positions reprimanded and/or fired."
# 3799925 - Super Bowl half - time show,2/3/2020 8:35:11 PM,"Cedar Cit y, Utah 84720",AT&T,- time show! We would rate it as R if it were part of a movie. It had no place on a family tv program.
# 3799929 - Super Bowl 2020 Halftime Show,2/3/2020 8:35:50 PM,"Stafford, Virginia 22554",,"The halftime show was nothing short of pornographic. This type of behavior and dress (or lack there of) during primetime should not be allowe d. At the VERY least, there should have been a warning. Disgraceful to promote that while human trafficking is happening right outside the stadium gates."
# 3799946 - S uper Bowl halftime show,2/3/2020 8:42:49 PM,"Mesa, Arizona 85205",,tipped over the line of being PG13 to being pornographic! There were children watching the Super Bowl and the NFL should be fined for allowing this disgusting display to be aired during family viewing hours.
# 3799958 - Indecency during prime time live TV,2/3/2020 8:44:37 PM,"Owasso, Oklahoma 74055",,Super Bowl halftime show.
# 3799960 - Super Bowl halftime show,2/3/2020 8:45:04 PM,"Verona., New Jersey 07044",,"The halftime show was absolutely horrible. It portrayed pole dancing, inappropriate costumes for children watching and lewd hand gestures. The NFL AND Fox should b e ashamed for airing such trash with millions of children watching it."
# 3799963 - Super bowl half time show,2/3/2020 8:46:46 PM,"Elkhart, Texas 7 5839",,Half time show disgusting. Supposed to be family friendly. Outfits too revealing. stripper pole dancing
# 3799964 - Indecency in Super Bowl half time,2/3/2020 8:46:53 PM,"Rapid City, South Dakota 57702",,"The half time show was a soft lien display of vulgarity for all of my children to see during family hours. The performances, crude video closeups, costumes devalued women, their bodies and sexuality. nce and sexuality. What ever entity allowed this during family viewing hours needs to be corrected and fined. It was a betrayal of parents and children all over America."
# 3799970 - Superbowl Halftime Show,2/3/2020 8:49:00 PM,"Virginia Beach, Virginia 23455",,"My wife, children, in - laws, nieces, nephews, and friends were extremely shocked and embarrassed to be watching the Superbowl halftime show and the disgusting body ges tures of the singers. Are there any standards? I didn't know what to tell my eight year old and fourteen year old daughter when the singers opened up their legs for the cameras. We have lost complete respect for these singers and will be tuning out next y ear."
# 3799981 - Superbowl 2020 Halftime Show,2/3/2020 8:51:24 PM,"Rosharon, Texas 77583",AT&T,Indecent clothing and behavior during JLo and Shakira performance.
# 3799987 - Objectionalbe Content: Superbowl LIV Halftime Show 2/2/2020,2/3/2020 8:52:10 PM,"Palm Bay, Florida 32905",,"During the Superbowl Halftime show from Miami, on 2/2/2020, th e NFL and Fox Network aired a performance by Jennifer Lopez and Shakira that goes beyond what should be shown during Prime Time hours (approximately 8PM ET). The performers were scantily clad, one grabbed her genitalia region and another performed a pole dance. For the NFL who allegedly takes a stance on Sex Trafficking, this performance objectify's women, which is contrary to human decency in light of the #metoo movement. If I had an impressionable daughter I'd have some explaining to do regarding thi s. This is on par with the 2004 Janet Jackson 'Wardrobe Malfunction"" to which you levied fines on the offenders. Please consider such in this case as well."
# 379 9990 - SuperBowl Halftime Show,2/3/2020 8:52:39 PM,"Ravenna, Kentucky 40472",,The halftime show for the Super Bowl was pornography and nothing less. It should not be allowed during family viewing. Or really anytime.
# 3799991 - Súper bowl halfti me,2/3/2020 8:52:51 PM,"Thayne, Wyoming 83127",,The show was not appropriate for a general audience. It was sexually explicit and would have been considered soft porn not many years ago.
# 3799993 - Superbowl Halftime Show,2/3/2020 8:52:54 PM,"Sycamore, Georgia 31790",,"This show was an over - sexualized exhibit of indecency. There were thousands, likely millions, of children, including my 13 year old son with ASD, watching the Superbowl. Society has pushed us to teach our boys to be very careful about how you look at and treat women. JLo and Shakira are very talented women, they could have done this show with some integrity, instead they objectified and sexualized themselves, especially JLo, by not even cove ring her butt and repeatedly touching her crotch. This is outrageous and all involved, Fox, NFL, Pepsi, Roc Nation, and the performers, should be hit with very high fines. They should be fined, monitored for future halftime shows, and be forced to, at the very least, make it very clear that their programming is not for children."
# 3799999 - Super Bowl LIV Halftime show,2/3/2020 8:53:27 PM,"Franklin , Indiana 46131",,This year's Super Bowl halftime show went too far with the vulgarity. I had to explain to my 8 year old niece why it was inappropriate after changing the channel. I hope you penalize the NFL for this. We the people are getting fed up with this garbage. Tha nk you.
# 3800011 - Super Bowl Halftime - JLo,2/3/2020 8:57:27 PM,"Mcfarland, Wisconsin 53558",,"The whole event was supposed to be family friendly (young kids ran out to start the game, young hours. It was the first time my young boys were going to watch it, and we had to cover their eyes and walk them out of th e room. I was ashamed for building it up and wish I could undo a terrible experience for us all."
# 3800030 - NFL Super Bowl halftime show,2/3/2020 9:01:47 PM,"Springfield, Virginia 22153",,The NFL's superbowl halftime show (on Fox?) should be fined for the gratuitous sex implied by the minimal clothing on the pe rformers.
"# 3800031 - Super Bowl Halftime Show - February 2, 2020",2/3/2020 9:02:04 PM,"Olney, Maryland 20832",,The Halftime show was not family friendly even though millions of young boys and girls were subjected to sexually explicit and graphic content including a stripper dancing with a pole (Jennifer Lopez) and frequent rubbing and grabbing of woman's genital ar ea. It was extremely vulgar and not meant for general / family friendly viewing.
# 3800035 - disgusting superbowl halftime show,2/3/2020 9:03:06 PM,"Clarksburg, Maryland 20871",,those responsible for the disgusting and degrading superbowl halftime show should be fined by the FCC. No excuse for such a lewd perfo rmanes on public airwaves
# 3800036 - Superbowl Half - time show,2/3/2020 9:03:21 PM,"Crystal Lake, Illinois 60012",,"I am appalled that the Superbowl Half - time show 2020 was not blocked by parental controls this year. How in the world was this performance okay for all audiences? This should have been labeled at lea st PG 13, if not MA. Please advise this was a huge mistake that affected millions of families across the country. FOX should be fined for this disgraceful pornographic television event"
# 3800048 - Super Bowl Halftime show,2/3/2020 9:05:44 PM,"Boca Raton, Florida 33428",,"was offensive, bordering on porn and our young children were watching it! We were caught completely off guard and this was prime time - totally inappropr iate broadcast showing lady parts up close."
# 3800056 - SuperBowl LIV Halftime - DISGUSTING,2/3/2020 9:08:24 PM,"Big Lake, Minnesota 55309",,"If the intent of this year's SuperBowl halftime show was to empower and honor women, then I hope none of my daughters and granddaughters were watching. To suggest it is acce ptable for women to lewdly flaunt their bodies on a strip pole is immoral. Unbelievable that the network and the NFL would approve. If the subliminal message was to address immigrant children separation it was lost on the vision of nearly naked booties shaking in our faces. Clean up SuperBowl Halftime performances - - these are suppose to be a family event, not a strip club act."
# 3800076 - Half time show for super b owl 2020,2/3/2020 9:15:16 PM,"Canton, Pennsylvania 17724",,Pure porn - why is this allowed ? Please fine everyone fnvolved !
# 3800088 - Super Bowl Halftime Show,2/3/2020 9:19:06 PM,"Richmond, Virginia 23231",,"The halftime show at the Super Bowl on 2 - 2 - 2020 was the definition of indecent. Scantily clad singers thrusting bodies all over the screen was not in any way family friendly. My family has decided that we will never watch another halftime show. Was the show prescreened at all??? FOX, the NFL, and the FCC should be ashamed."
# 3800092 - Super Bowl Halftime Performance,2/3/2020 9:19:30 PM,"Overton, Nevada 89040",Dish Network,I think th e above referenced performance by Jennifer Lopez violates the law regarding appropriate content during certain viewing hours. If I want to see a nude and lewd performance I will go to a strip club where I can be assured my underage children and grandchildr en are not watching. Showing closeups of the female genital areas on national tv should never be allowed.
# 3800103 - Super Bowl Halftime,2/3/2020 9:22:00 PM,"Inwood, West Virginia 25428",,I disapprove of the halftime show. I feel it was too sexualized. I will not continue watching football if this is what is shown.
# 3800112 - Half time show,2/3/2020 9:23:40 PM,"Riverview, Florida 33569",,"I wish to file a complaint against the NFL half time show. It was wildly inappropriate, offensive, and a horrible example to young people everywhere."
# 3800119 - Super Bowl halftime,2/3/2020 9:27:11 PM,"Peoria, Arizona 85383",,INDECENCY during super bowl half time show. Not family friendly. Totally inappropriate to broadcast and the camera angles made it so much worse!!!!! Disappointed mother.
# 3800125 - Super Bowl Half Time Show,2/3/2020 9:28:36 PM,"Caldwell, West Virginia 24925",,"That was the most disgusting, vulgar and sexually explicit thing I have ever seen in my 63 years of watching tv. At this point, no one in my home will ever watch a Super Bowl again. That was TOTALLY INAPPROPRIATE for people of any age ESPECIALLY children, and the Super Bowl is suppose to be a family program. SHAME ON YOU for airing it!!!!! You need to preview planned half time shows and have guidelines on behavior during those shows."
# 3800129 - Super bowl half time show,2/3/2020 9:29:36 PM,"Port St Lucie, Florida 34983",,The super bowl half time show was totally inappropriate for prime time tv. Total inappropriate for children
# 3800131 - NFL Super Bowl half time show,2/3/2020 9:29:40 PM,"Lafayette, Louisiana 70506",,Especially Jennifer Lopez. If I wanted to w around.
# 3800133 - Super Bowl Half Time Show,2/3/2020 9:30:04 PM,"Palm Bay, Florida 32909",AT&T,"The so - called show during half time on Sunday, 02/02/20 was beyond disgusting. The performance of the two female singers was degrad ing to all women. As performers, they should be embarrassed by their bawdy display which shows a total lack of self - esteem and objectifies women. They put the Me too movement back to square one as they played into the Good Ole Boys image of a woman. I a m disgusted and appalled that a show which was Strip Club worthy was shown on prime time for entire families to see."
# 3800135 - Super bowl half time show,2/3/20 20 9:30:32 PM,"Port St Lucie, Florida 34983",,The super bowl half time show was totally inappropriate for prime time tv. Total inappropriate for children
# 3800160 - Super Bowl 54 Halftime show,2/3/2020 9:35:02 PM,"Rancho Murieta, California 95683",,"FCC should fine National Football League for promotion and airing of a soft pornography show at prime time viewing for all ages! At the very least, it should have contained a PG - 13 rati ng! Pole dancing, gyrations, crotch grabbing, leather costumes, SM chains & ropes and tight clothing? Making political statements by having minor children in cages? Tasteless & profane show! This is not age signaling and sexual exploitation!"
# 3800164 - Superbowl Halftime show,2/3/2020 9:35:58 PM,"Orem, Utah 84097",,I was appalled at the half time show this year. Jennifer Lopez was sleazy and it was totally inappropriate for a network show. I felt like I was at an adult Vegas show. I couldn't keep watching and had t o leave the room and take the kids with me. This show needs a R+ rating. In the Me too generation this was just asking for trouble.
# 3800165 - Superbowl halftime show,2/3/2020 9:36:12 PM,"Chattanooga, Tennessee 37419",AT&T,"This show should not have been allowed at prime time with kids watching. The dancing was right out of a strip bar except for a g - string over her crotch, but the camera man zooming in made up for that. This SHOULD NOT BE ALLOWED ON PRIME TIME. I can not be lieve we are allowing this in our culture."
# 3800178 - Super bowl,2/3/2020 9:41:19 PM,"Scottsdale, Arizona 85262",Direc tv,The halftime performance was not acceptable family viewing.
# 3800185 - NF L Half Time Show,2/3/2020 9:43:29 PM,"Ashville, Ohio 43103",,The half time show of the super bowl was lewd and not appropriate for family viewing.
# 3800192 - Public indecency,2/3/2020 9:45:49 PM,"Emerson, Georgia 30137",,Read the attached below. The Superbowl 2020 half time show was a national disgrace.
# 3800196 - Super Bowl halftime show,2/3/2020 9:46:16 PM,"Latham, New York 12110",,"I was appalled by the content of the super Bowl halftime show. I was watching with my 8 and 10 year old daughters and didn't realize they were going to be exposed to grinding, pole dancing, and crotch close ups during prime time"
# 3800204 - Super Bowl half time show,2/3/2020 9:48:16 PM,"Byron Center, Michigan 49315",Comcast,Our family was disgusted with the half time show for the super bowl. Fox should be fined for indecency. That display of genitals has to go above the standards for tv shows.
# 3800205 - Stripperbowl 2020 Halftime show aka Super Bowl 2020 halftime show,2/3/2020 9:48:23 PM,"Waco, Texas 76705",,"This show was 14 minutes of stripper like vulgarity. I would have been extremely embarrassed to have had my child walk into the room while this was going on. I don't know what was worse, the lack of clothing worn by the performers Shakira humping the stag e, or J.Lo pole dancing like a common stripper. This was NOT appropriate for a family friendly show. Not to mention the level of embarrassment felt by those of us watching it at our church pastors house."
# 3800206 - 2020 Super Bowl Halftime Show,2/3/2020 9:48:55 PM,"Lansdale, Pennsylvania 19446",,"I was shocked to camping and watched on an OTA channel what was not suitable for children! Butt and crotch grabbing and closeup shots, simulated bondage, sex and orgies, stripper pole dancing - certainly not family friendly television!"
# 3800215 - JLo's disgusting Superbowl performance,2/3/2020 9:50:53 PM,"Colorado Springs, Colorado 80 923",,"I found it quite disturbing to see JLo's ass and crotch shots on last night's Superbowl performance. We all know she gorgeous but did we really need to subjected to that kind of TV porn especially during a family event watching the Superbowl? Honestly is that what young girls are supposed to think about how they should look & act in public? And that's ok with everyone? Well not ok with me. Please stop putting di sgusting girating, crotch grabbing, humping and orgys on public TV during prime time."
# 3800220 - Super Bowl 54 half - time act,2/3/2020 9:52:58 PM,"Round Rock, Texas 78665",Spectrum,I am a fan of the NFL and Fox Sports. What little my family and friend saw of the half - time Please consider upgrading standard for this event which is aimed at a viewing audience of all ages. Thank you.
# 3800224 - Super Bowl halftime show,2/3/2020 9:53:46 PM,"Prattville, Alabama 36066",,children. S urely they violated many FCC regulations.
# 3800227 - Overtly sexual halftime show performed during Prime Time without Age Restriction or Warnings,2/3/2020 9:55: 00 PM,"Ephrata, Pennsylvania 17522",,"Excuse my vulgarity in describing this; however, it is impossible to explain how vulgar this was without vivid descr iptions. So.. In no way is it appropriate for a stripper pole; camera zooming in on multiple shots of a barely covered crotch (one of which the woman sat with her legs spread to allow the camera better access to her barely covered vagina); the display of v arious sex positions (including doggie style where the camera zoomed in to highlight the barely covered vagina and anus)... to be part of an American tradition during Prime Time hours. As an adult, I choose whether to watch a rated R show or movie. My husb and and I are not prudes, but are conservative in nature. Neither one of us would willingly attend a striptease. Knowing my grandchildren were watching this sickened me. I do not want my granddaughters thinking they need to be sexual in order to succeed in life. I do not want my grandsons thinking it is okay to view women as objects. Those women are beautiful and talented. The dancing and music was fantastic. J - Lo did not need to do a striptease, pole dance and pose in such outrageous sexual positions for the camera."
# 3800232 - Half time super bowl show,2/3/2020 9:56:06 PM,"South Jordan, Utah 84009",Pepsi,"Inappropriate costumes and sexual poses, inappropriate for children who were used on the show with the woman dressed insppropriatel"
# 3800237 - Half time show,2/ 3/2020 9:56:56 PM,"Winter Park, Florida 32789",Spectrum,I am sure glad my granddaughters did not watch that NFL Superbowl hal f time show. The image of what was displayed and the message sent to the young public was offensive and abusive. The message was confusing and disturbing. If you do not agree I suggest you have your granddaughters watch the show and see how they imitate th e wrong message!
# 3800241 - NFL half time was a porn show,2/3/2020 9:57:50 PM,"Morristown, New Jersey 07960",Optimum,I am appalled at how a television network allowed such a disgusting display of the degrading of women and basically a porn show during the hours of family viewing!!! T his has pushed me to boycott this network and the nfl!! Both obviously missed the description of what it is to empower a woman!!! Again it was nothing more than a porn show!!!
# 3800244 - 2020 superbowl halftime show,2/3/2020 9:58:56 PM,"Sterling Heights, Michigan 48412",Comcast,Lacking decency in attire and dance moves for family entertainment.
# 3800245 - half - time show at the super bowl,2/3/2020 9:59:13 PM,"Fayetteville, North Carolina 28311",,"I was once again upset to see the half - time show. I b elieve there should be a rating applied to the show before it is decided if it can be shown as a family exhibit. The NFL has always been a family game to watch with your children. Therefore, the half - time show should be previewed and a rating put on it. Pa rents need to be able to decide if a P, NC17, or R rating show is suitable for their family. I remember when my boys agreed to watch the super bowl and Janet Jackson exposed her breast. Come on, can we be responsible adults and give a rating. I personall y believe every half - time show should be family friendly. If the super bowl is considered for the entire family....then the half - time show should be also. Thanks for listening."
# 3800256 - Half time show Superbowl 2020,2/3/2020 10:02:54 PM,"Spring, Texas 77379",AT&T,"Shame on you what a n embarrassment for America. Trashy porn with clothes on not okay for kids, families or anyone really totally disgusted. Shame on you for allowing them to get away with this garbage."
# 3800263 - Super Bowl,2/3/2020 10:04:02 PM,"Mckinney, Texas 75071",Fox Tv,I want to complain about the Super Bowl half time. I am amazed at the talent those women possess and yet the crotch shots and booty angles were unnecessary and made it very inappropriate for children
# 3800268 - Raunchy Superbowl Halftime Show,2/3/2020 10:04:35 PM,"Thornton, Colorado 80241",Directv,I am appalled by what me and my family saw during the Superbowl Halftime Show. Please see attached pictures I took from my TV. It is vulgar and should not ever be included in a family show. Disgusting!
# 3800271 - Super Bowl Half Time Show,2/3/2020 10:04:56 PM,"Tulsa, Oklahoma 74133",,The Super Bowl halftime show was just pornography. The NFL and FOX should be fined.
# 3800281 - Vulgarity on prime time,2/3/2020 10:06:32 PM,"Oak Ridge, Tennessee 37830",,Halftime show during the superbowl
# 3800284 - Super Bowl 2020 Half Time Show,2/3/2020 10:07:03 PM,"Indian Harbour Beach, Florida 32937",,"The entertainment during the 2020 Super Bow l half time show was not suited for children or families. The was at the least, soft porn and not appropriate. These type of shows should be shown in bars, not on TV that children watch. Please, reconsider showing more respectable entertainment, or I wi ll boycott all future shows."
# 3800295 - Super Bowl halftime sex show,2/3/2020 10:11:06 PM,"Celina, Texas 75009",,"The Super Bowl halftime show was 100% pornography w women mimicking masturbation in close up crotch shots, imitating sex acts with men while twerking with bare bottoms. It objectified women and prost ituted children at the end to make it look wholesome, when children should not have even been present. The SB is a family viewing event and even as a woman I had to look away in disgust and embarrassment. This should NEVER happen. The NFL has finally gone too far. They should be sanctioned financially and future shows should be subject to ordinary standards of public decency."
# 3800296 - Superbowl show,2/3/2020 10:11:07 PM,"Abingdon, Maryland 21009",,"The halftime show for the Superbowl on regular Tv and during hours where children are watching...is NOT a time there should be stripper poles, half nakedness, and gra bbing crotches... The game was on at 7 pm and it was NOT empowering for women... It was degrading and sad... What about the little women who are watching? It was truly sad..."
# 3800298 - Super Bowl LIV,2/3/2020 10:11:11 PM,"Bedford, Pennsylvania 15522",,"The halftime show was basically soft core porn shown on prim etime TV. J Lo wore extremely revealing, sexual outfits, pole danced, and had backup dancers barely dressed doing clearly sexual gyrating and dances. It's something you'd expect to see at a gentleman's club, not during the biggest spring event of the year with millions of young children watching. What an embarrassment, I would never want my young children, or any four that matter, to be subject to that garbage again. I couldn't even stand to watch it as an adult. Very poor taste, and definitely not plannin g on watching again in the future."
# 3800301 - Super Bowl,2/3/2020 10:11:29 PM,"Hendersonville, Tennessee 37075",,What a disgusting display of soft porn at the half time show. It’s a shame that fix allowed this. 
# 3800306 - S uper Bowl 2020 Half - Time Act,2/3/2020 10:11:53 PM,"Grand Prairie, Texas 75052",,"The Super Bowl's half - time act was NOT family friendly in any way. Repeated crotch shots were shown, and revealing clothing was worn (butt cheeks very visible). Pole dancing on a 7:00 p.m. time slot cannot be considered anything but indecent."
# 3800312 - half time,2/3/2020 10:12:41 PM,"Mcdonough, Georgia 30253",,The Super Bowl halftime show featuring Shakira & J - Lo was not appropriate for family viewing. It was over - sexualized & objectified women. I am extremely disappointed that this was put forth as acceptable entertainment for a diverse audience.
# 3800313 - NFL halftime show obscene,2/3/2020 10:12:58 PM,"Louisville, Colorado 80027",,"This halftime show depicted women pole dancing, grabbing their crotches, shaking their boobs and butts, and extremely suggested ways. It is one thing to pay to go see the show. It is completely another thing to broadcast this into the homes of millions of Americans. Homes were some young man in the room easily observed male role models looking appreciatively at this display and their young impressionable minds being e mpowered to object if I women. Rooms where young girls watch the boys and men in the room and their reactions, and internalized in subtle ways that the only value women have in the eyes of men is the quality of their equipment. Homes where women and girls are being verbally, emotionally, physically, or sexually abused by men. Homes where families have been impacted by sex addiction, porn addiction, and homes where parents are trying to teach their children a better standard. This was forced upon millions o f families in what was it supposed to be family entertainment that was broadcast over free TV during the primetime hour. It was shameful and completely unacceptable."
# 3800314 - Half Time Show,2/3/2020 10:12:58 PM,"Sonoma, California 95476",,"Shakira and JLo and dancers dressed in bondage gear, grabbing their crotches, dancing on poles, you could see their crotches. Disappointed that the FCC would permit this content during family show time hours. We had to have the children go and play i n the room. Totally inappropriate. This is ok for their concerts where as an adult we can decide if they go. But to show this it was disappointing. Sent the wrong message to young girls."
# 3800315 - SuperBowl Halftime show,2/3/2020 10:13:04 PM,"Locust Grove, Virginia 22508",,"prime time Family friendly BASIC CA BLE Super Bowl should NOT have people on Stripper Poles. There was no warning. If this were any other broadcast, a rating warning would have been required beforehand so that I could decide if I wanted my 8 year old daughter and her 6 year old friend watchi ng."
# 3800316 - Super Bowl 2020 half time show was needlessly and shamelessly inappropriate,2/3/2020 10:13:15 PM,"Niceville, Florida 32578",,"Strippers and pole dancers during the nationally televised, prime time Super bowl 2020 show are grossly inappropriate. Butt cheeks jiggling are offensive and degrading to f emales of all ages. Such outrageous behavior causes one to question the validity of the Me Too movement and appears to encourage it."
# 3800321 - Indecent SB performan ce,2/3/2020 10:13:57 PM,"Toney, Alabama 35773",,"The halftime show was entirely inappropriate for a family event such as the Super Bowl football ga me is supposed to be, let alone the children in physical attendance. Why was that performance deemed"
# 3800324 - Halftime performance,2/3/2020 10:14:00 PM,"Chelsea, Alabama 35043",,Indecent performance during half time broadcast on cable tv. Females portraying sexuality in an extreme manner. Solution: Minimum requirements for attire/better guidance for appropriate or inappropriate attire
# 3800328 - Super Bowl,2/3/2020 10:14:37 PM,"Cheyenne, Oklahoma 73628",Directv,The half time entertainment was pure pornography and should not be allowed on family entertainment.
# 3800336 - The Sexual Exploitation of Women on the Super Bowl Halftime,2/3/2020 10:15:56 PM,"Sedalia, Missouri 65301",,should NOT be allowed on a prime time sporting event.
# 3800338 - Super Bowl halftime show,2/3/2020 10:16:29 PM,"Denton, Texas 76210",,"My children were watching the Super Bowl when the halftime show started. It was softcore pornography with women gyrating in a sex ual manner, the performer spreading her legs and touching her crotch and bending over with her bottom barely covered. It continued with a pole dance and disgusting sexual moves by some of the dancers. I felt certainly a disclaimer should have been made t o take children out of the room or turn the channel. This is vile and indecent and an affront to civility."
# 3800339 - Super Bowl halftime show,2/3/2020 10:17:1 3 PM,"Pass Christian, Mississippi 39571",Cable One,"This was disgusting and soft porn!! I have 2 small grandsons in my home an d this is normally a family sports show! I am very disappointed you would show such filth on TV, not at all appropriate!!!"
# 3800342 - Super bowl 1/2 time,2/3/2020 10:17:25 PM,"Tifton, Georgia 31794",,"The half time program was appalling. Basically it was a strip club with low class strippers, it was at the best soft porn. This is not acceptable for prime time TV. They all need to be fined heavily, from performers, NFL, Pepsi and anyone who promoted it"
# 3800344 - NFL PORN SHOW,2/3/2020 10:17:38 PM,"Spartanburg, South Carolina 29307",,I think I saw Jennifer Lopez bunghole. The black leather outfit on the stripper pole was not as bad as watching her hang from a pole in a nothing there glitter naked woman pose. This is pornography and the nfl should be ashamed.
